timestamp,Observed,XGB,GBR,SARIMA,SARIMAX
2023-08-21 00:00:00,493.100000,518.845276,499.651065,455.811981,491.879774
2023-08-21 01:00:00,493.100000,471.614288,478.151117,433.314552,479.916274
2023-08-21 02:00:00,493.100000,490.979584,489.680440,422.561465,499.558264
2023-08-21 03:00:00,493.100000,489.784485,488.790798,422.005129,499.651386
2023-08-21 04:00:00,493.100000,484.807373,498.304905,419.660138,492.306646
2023-08-21 05:00:00,493.210000,491.916199,503.754472,418.223940,498.343393
2023-08-21 06:00:00,580.000000,584.373962,578.243235,470.052177,571.348278
2023-08-21 07:00:00,640.610000,628.788635,612.845724,479.505564,627.972221
2023-08-21 08:00:00,595.000000,629.433655,624.948671,474.989289,625.743132
2023-08-21 09:00:00,501.000000,540.991272,542.018448,437.854130,554.408421
2023-08-21 10:00:00,493.210000,460.914673,443.695357,388.875622,482.168406
2023-08-21 11:00:00,493.100000,488.966888,475.358932,374.103971,481.029771
2023-08-21 12:00:00,493.000000,496.636871,484.351869,373.235399,493.097036
2023-08-21 13:00:00,493.000000,503.300598,486.242839,374.297496,485.553081
2023-08-21 14:00:00,493.000000,512.147583,495.187198,381.682662,476.631598
2023-08-21 15:00:00,493.100000,519.449097,505.441573,413.187544,475.672728
2023-08-21 16:00:00,495.710000,525.044373,526.415213,468.535670,491.231282
2023-08-21 17:00:00,559.000000,539.818481,538.013070,522.102511,527.298151
2023-08-21 18:00:00,722.220000,624.003784,620.032047,564.845298,642.750688
2023-08-21 19:00:00,840.000000,810.934326,810.027777,603.984387,774.311756
2023-08-21 20:00:00,849.340000,886.675964,874.311471,613.729927,831.595120
2023-08-21 21:00:00,800.000000,773.555481,760.286082,583.511116,765.920287
2023-08-21 22:00:00,696.490000,741.411743,727.587561,541.894639,690.143448
2023-08-21 23:00:00,517.770000,595.720642,619.437364,485.366804,626.833837
2023-08-22 00:00:00,525.000000,512.052795,511.279065,457.009311,505.963969
2023-08-22 01:00:00,496.550000,519.809082,512.320708,434.509626,512.481521
2023-08-22 02:00:00,496.550000,501.607269,500.112668,423.754119,496.004338
2023-08-22 03:00:00,496.550000,505.211060,503.486264,423.197850,491.961042
2023-08-22 04:00:00,496.550000,511.083374,517.841183,420.854225,491.596089
2023-08-22 05:00:00,525.000000,530.961487,529.566046,419.418198,499.614077
2023-08-22 06:00:00,645.000000,643.511292,636.635865,471.245186,575.386111
2023-08-22 07:00:00,700.000000,684.937317,685.209710,480.693071,656.579904
2023-08-22 08:00:00,640.630000,703.183899,698.497252,476.177170,663.900831
2023-08-22 09:00:00,535.930000,577.594788,591.403982,439.043048,583.959498
2023-08-22 10:00:00,496.550000,507.792786,509.309517,390.059163,520.626833
2023-08-22 11:00:00,496.550000,490.346954,481.815622,375.285675,502.420766
2023-08-22 12:00:00,496.450000,506.850189,499.555448,374.416973,504.919681
2023-08-22 13:00:00,496.450000,507.343719,494.138290,375.479230,501.915455
2023-08-22 14:00:00,496.550000,513.123962,510.963505,382.865511,503.640588
2023-08-22 15:00:00,501.190000,533.448425,518.998688,414.374997,507.326727
2023-08-22 16:00:00,580.000000,557.274597,560.854898,469.729975,525.916225
2023-08-22 17:00:00,663.000000,644.212891,654.838887,523.303393,604.812856
2023-08-22 18:00:00,750.000000,753.555786,746.767107,566.042065,715.857473
2023-08-22 19:00:00,854.220000,797.591492,808.412937,605.178156,800.408320
2023-08-22 20:00:00,870.000000,893.426697,868.693287,614.923507,858.344904
2023-08-22 21:00:00,800.010000,807.890198,776.888906,584.709192,790.216739
2023-08-22 22:00:00,675.000000,732.431396,740.175929,543.098494,697.345462
2023-08-22 23:00:00,575.000000,594.450317,604.958805,486.566670,624.066387
2023-08-23 00:00:00,543.000000,542.966309,560.953205,458.208810,575.652990
2023-08-23 01:00:00,510.000000,539.259277,529.990539,435.708868,546.700878
2023-08-23 02:00:00,494.000000,521.102051,512.491684,424.953084,530.491198
2023-08-23 03:00:00,490.000000,514.172424,507.961802,424.396823,510.198898
2023-08-23 04:00:00,494.580000,515.553040,510.810750,422.053354,499.672837
2023-08-23 05:00:00,530.000000,532.513489,532.589609,420.617347,507.893575
2023-08-23 06:00:00,660.000000,637.851685,643.354475,472.444192,592.845485
2023-08-23 07:00:00,700.000000,738.327271,704.181734,481.891448,684.086154
2023-08-23 08:00:00,630.000000,708.749023,689.594211,477.375590,664.339693
2023-08-23 09:00:00,535.730000,561.469910,573.118479,440.241587,575.662347
2023-08-23 10:00:00,490.000000,496.749908,492.204075,391.257087,519.792999
2023-08-23 11:00:00,471.320000,475.769989,473.647748,376.483390,492.203936
2023-08-23 12:00:00,450.000000,488.952423,472.781375,375.614672,481.669475
2023-08-23 13:00:00,460.000000,476.536987,450.931504,376.676948,463.208090
2023-08-23 14:00:00,482.220000,492.949646,478.619069,384.063356,470.128771
