model,MAE,RMSE,RMSLE,R2,MAPE_eps,sMAPE
TiDE,26.411383159871015,38.658312335273756,0.3064769350047336,0.9459892225303004,11.808015806634096,8.898148096756946
XGB,28.212562531404522,40.811191887068176,0.4900222494709771,0.9398059998944727,25.877692557380964,9.97978830359344
GBR,28.282938498671946,40.91449500987907,0.43955105664357136,0.9395008827034868,19.65086500428179,9.803968959050279
Seq2Seq,29.284740996446747,42.0525013337912,0.5022666053293708,0.9360886024670487,27.763543807730397,10.3926094007429
Transformer,30.87174992585522,43.484286438059584,0.5056091444608086,0.9316624596361177,28.764072228787356,10.796162356977518
AutoML,34.64793413108148,49.911657969488125,0.5246296985513919,0.9099676386683337,32.1728765767046,11.611648275556043
SARIMAX,36.65128147866844,49.93255458842631,0.3500404462766494,0.909892234810302,15.640451477216457,11.363254491061658
SARIMA,113.09726132328838,134.832684542326,0.6226496173117799,0.3429702862550492,54.876384298016646,30.092821491048273
