model,MAE,RMSE,RMSLE,R2,MAPE_eps,sMAPE
TiDE,26.025370042976874,37.20267960986538,0.7202873608770616,0.9640304338968038,28.653991433902643,18.444982909247564
GBR,30.932472265561973,42.211112581484684,0.960040442437836,0.9536936709701344,61.56100514248559,21.234048839990237
XGB,34.68125916369048,50.654031065125814,1.091482407457724,0.9333170538123574,95.41469778122908,21.87753468711178
Seq2Seq,37.684157832009454,53.71523892263447,1.0981648674191984,0.9250137253117997,98.49555943162758,22.737686510994067
Transformer,40.34037155357142,55.35416707176152,1.1098751068394772,0.920368041830573,103.5866998320521,23.41049551506107
AutoML,43.10440059298561,69.85537773155382,1.1652746243588492,0.8731803805719136,122.63904396459142,23.398021095411448
SARIMAX,49.27507879350215,60.915180196922904,0.7013315071079087,0.9035643035285479,40.29892598749655,24.094450153872156
SARIMA,130.15755581915786,153.89988048232837,1.2321627455846516,0.38445002222964486,168.03068120379342,43.682152975042534
