model,HorizonHours,MAE,RMSE,MAPE,RMSLE,R2
TiDE,168,27.504273598969313,39.7143766659976,456.49728706974474,0.19921310925998764,0.9311435128947931
Transformer,168,29.5784732422619,40.48153807561428,1486.0827553823367,0.292217202639789,0.9295156178442596
Seq2Seq,168,31.74481898041004,43.61247082660539,2659.583123375808,0.32262522239162605,0.9209837912493605
AutoML,168,35.74187712587135,49.97638664995302,2696.1993063833456,0.3342989274211764,0.8980087198881657
