model,threshold,n_peaks,n_non,MAE_peaks,MAE_nonpeaks,WMAE,precision_peak,recall_peak,f1_peak
XGB,755.5499999999997,29,715,25.671368620689645,36.004477522642325,34.883554237767164,0.6829268292682927,0.9655172413793104,0.8000000000000002
GBR,755.5499999999997,29,715,28.52025532982995,33.27720035325912,32.761172651216306,0.6944444444444444,0.8620689655172413,0.7692307692307692
SARIMA,755.5499999999997,29,715,187.74420276724584,115.64705981580147,123.46807158235467,,0.0,
SARIMAX,755.5499999999997,29,715,34.63043274363806,43.77491291016069,42.78293064770749,0.4642857142857143,0.896551724137931,0.611764705882353
Seq2Seq,755.5499999999997,29,715,39.514125976562504,38.081352286523014,38.23677786137767,0.8333333333333334,0.6896551724137931,0.7547169811320755
TiDE,755.5499999999997,29,715,33.50578318628772,28.421911083989194,28.973403444213595,0.8695652173913043,0.6896551724137931,0.7692307692307693
Transformer,755.5499999999997,29,715,33.94818786206897,38.99311670254583,38.445848860748455,0.7857142857142857,0.7586206896551724,0.7719298245614034
AutoML,755.5499999999997,29,715,38.8692476259429,41.313032686458214,41.04793380832251,0.8333333333333334,0.6896551724137931,0.7547169811320755
