model,MAE,RMSE,RMSLE,R2,MAPE_eps,sMAPE
TiDE,21.362350710914246,28.481696645035587,0.0644711955634489,0.9555304931807538,4.7017212915511095,4.630940726738745
GBR,22.416699815623257,29.428396960872274,0.06569748627689181,0.9525251270420666,4.7523864631959825,4.724799080428102
XGB,23.22803309523809,29.06240350192145,0.06213882136561972,0.9536986497252994,4.900888250330025,4.809388111799551
Seq2Seq,25.93347906930106,33.26848629264568,0.07413011746483456,0.9393268305761575,5.682530613217039,5.538567012560424
Transformer,27.213006851190478,35.404343710134064,0.08667322963051453,0.9312862427077055,6.254821395270083,6.025172044380412
AutoML,28.792605252947126,34.662132207901365,0.08657542205834219,0.9341370545558185,6.805572229913952,6.47083486218081
SARIMAX,54.92978225896354,64.79340689301756,0.1284444378917947,0.7698599345658268,11.68481643272853,10.846909459563626
SARIMA,116.02862721824688,144.176059552706,0.33193446135228344,-0.1395067535196457,23.323946812194432,26.265033956870056
