timestamp,Observed,Transformer,TiDE,Seq2Seq,AutoML
2023-08-18 00:00:00,469.890000,497.16806,473.1855163574219,493.1330261230469,474.1083984375
2023-08-18 01:00:00,446.210000,478.083557,475.40338134765625,487.6805114746094,475.344482421875
2023-08-18 02:00:00,439.890000,470.656036,462.3273620605469,473.5107421875,467.2806091308594
2023-08-18 03:00:00,439.890000,461.533386,456.8866271972656,467.91650390625,465.1960144042969
2023-08-18 04:00:00,440.000000,472.502045,465.0721130371094,484.0311584472656,473.6691589355469
2023-08-18 05:00:00,459.890000,476.21579,473.0943908691406,493.9769592285156,484.7341003417969
2023-08-18 06:00:00,540.200000,535.548096,511.2268676757813,551.717529296875,535.1570434570312
2023-08-18 07:00:00,575.200000,556.921753,577.3956298828125,598.9093627929688,577.9296264648438
2023-08-18 08:00:00,569.400000,565.707764,568.8793334960938,568.5927734375,573.9562377929688
2023-08-18 09:00:00,500.010000,529.297119,540.450439453125,537.4378051757812,537.6353759765625
2023-08-18 10:00:00,492.460000,465.161072,468.9478454589844,470.477783203125,479.1415100097656
2023-08-18 11:00:00,492.460000,489.444672,480.4162292480469,493.8389587402344,477.0585021972656
2023-08-18 12:00:00,492.460000,481.841034,480.36041259765625,492.5382995605469,464.3424377441406
2023-08-18 13:00:00,492.460000,483.730835,487.04302978515625,497.9789733886719,472.8421936035156
2023-08-18 14:00:00,492.460000,493.29129,493.9398498535156,502.8961486816406,481.55670166015625
2023-08-18 15:00:00,492.560000,521.075623,506.5230407714844,510.1242370605469,489.859619140625
2023-08-18 16:00:00,500.000000,535.548096,521.4270629882812,521.1690673828125,514.0912475585938
2023-08-18 17:00:00,527.000000,563.498352,550.5297241210938,547.5834350585938,558.30908203125
2023-08-18 18:00:00,597.890000,585.985413,584.5570678710938,583.8748168945312,591.8228759765625
2023-08-18 19:00:00,670.000000,636.166687,646.773681640625,640.9159545898438,666.88525390625
2023-08-18 20:00:00,674.250000,679.915039,687.3021850585938,667.8895874023438,696.9574584960938
2023-08-18 21:00:00,595.220000,643.677368,652.8895874023438,655.0348510742188,658.7448120117188
2023-08-18 22:00:00,527.890000,595.229126,566.0953369140625,580.3773193359375,577.1080322265625
2023-08-18 23:00:00,492.460000,514.993286,501.0621032714844,522.1674194335938,507.1606140136719
2023-08-19 00:00:00,495.990000,497.16806,476.8337097167969,489.900390625,475.7994079589844
2023-08-19 01:00:00,473.000000,476.21579,490.40087890625,500.5533142089844,486.7181701660156
2023-08-19 02:00:00,480.000000,468.81723,473.080322265625,484.9926452636719,470.0294494628906
2023-08-19 03:00:00,485.000000,474.355286,481.4838562011719,491.1778869628906,478.04205322265625
2023-08-19 04:00:00,476.500000,485.628021,494.0564575195313,500.2694396972656,491.70068359375
2023-08-19 05:00:00,468.650000,476.21579,490.72857666015625,495.2384338378906,493.61767578125
2023-08-19 06:00:00,477.850000,481.841034,485.1086120605469,490.4382934570313,497.7417907714844
2023-08-19 07:00:00,496.090000,497.16806,501.8702087402344,505.37158203125,507.10302734375
2023-08-19 08:00:00,496.090000,493.29129,503.67919921875,500.56591796875,502.5139770507813
2023-08-19 09:00:00,440.000000,476.21579,475.4876403808594,483.2341918945313,471.3706970214844
2023-08-19 10:00:00,357.000000,413.612244,400.4434509277344,416.9170837402344,418.353515625
2023-08-19 11:00:00,344.890000,357.816986,332.5289001464844,365.5344543457031,359.29656982421875
2023-08-19 12:00:00,331.900000,352.254059,339.8647155761719,373.3433532714844,348.6462097167969
2023-08-19 13:00:00,339.900000,352.254059,349.0104064941406,382.8279724121094,354.0326843261719
2023-08-19 14:00:00,350.000000,367.763763,366.6260681152344,400.2808532714844,371.2416687011719
2023-08-19 15:00:00,438.000000,400.855988,385.1192932128906,417.7556762695313,387.3470153808594
2023-08-19 16:00:00,495.990000,485.628021,478.4129943847656,500.4474182128906,475.0790710449219
2023-08-19 17:00:00,499.340000,550.421753,539.6964111328125,555.9539184570312,537.357177734375
2023-08-19 18:00:00,540.100000,552.579956,552.74658203125,553.3443603515625,565.5314331054688
2023-08-19 19:00:00,575.000000,574.63208,585.1782836914062,581.6923828125,624.9907836914062
2023-08-19 20:00:00,577.000000,592.904602,597.2756958007812,584.7872924804688,630.8280029296875
2023-08-19 21:00:00,564.900000,581.41748,572.1080322265625,570.4102783203125,586.32470703125
2023-08-19 22:00:00,506.200000,541.872803,536.9843139648438,543.66552734375,545.60791015625
2023-08-19 23:00:00,496.200000,491.364227,488.7039489746094,495.4576110839844,503.0716247558594
2023-08-20 00:00:00,495.710000,479.958618,480.8134765625,486.9526062011719,473.5935974121094
2023-08-20 01:00:00,475.000000,472.502045,480.1696472167969,483.5366821289063,466.8217468261719
2023-08-20 02:00:00,465.640000,465.161072,460.1421813964844,473.0785217285156,455.6226501464844
2023-08-20 03:00:00,466.070000,452.587189,450.98345947265625,466.1819763183594,445.831298828125
2023-08-20 04:00:00,459.000000,456.144714,455.51959228515625,466.91650390625,446.8230895996094
2023-08-20 05:00:00,450.000000,449.057343,453.9743347167969,462.67333984375,458.2924499511719
2023-08-20 06:00:00,465.640000,450.818817,455.6719665527344,466.3635864257813,468.4410095214844
2023-08-20 07:00:00,441.140000,456.144714,464.2346801757813,472.9420471191406,460.2756958007813
2023-08-20 08:00:00,433.640000,421.789734,424.65045166015625,433.2845153808594,435.0609436035156
2023-08-20 09:00:00,345.000000,385.461121,386.1612548828125,393.4388427734375,407.79931640625
2023-08-20 10:00:00,265.400000,271.973572,296.8909912109375,294.9755554199219,336.248779296875
