model,MAE,RMSE,MAPE
XGB,24.04387741052658,36.20520763889661,907.0937331494214
GBR,26.397121880593346,39.12161525229453,678.5211092825894
SARIMAX,38.49844679158567,52.91003542540574,993.9029574296263
SARIMA,112.76541608556234,159.25367291421864,10123.920401048135
