model,MAE,RMSE,RMSLE,R2,MAPE_eps,sMAPE
TiDE,17.66596155802409,25.064338310785217,0.04275259455723261,0.9355547929138219,2.988022232661635,2.9849241648152733
GBR,19.23210502321747,27.24847795218859,0.04482852887339796,0.923833739692067,3.171764504322225,3.172977217443418
Seq2Seq,19.987023111979166,26.113312507508994,0.04580543812014225,0.930047688789192,3.4830252596658804,3.463595445375763
XGB,20.463628749999998,26.451194410427934,0.04330899888996965,0.928225742113108,3.5135071023274116,3.449408227357088
Transformer,23.15298833333334,30.28143760616306,0.050101469703390536,0.9059343383677776,3.7431942685512234,3.8611865610066474
AutoML,23.28691263834635,27.540673605385255,0.04918935376330806,0.9221914624982394,4.195414363745875,4.116638381709009
SARIMAX,70.99052116350877,79.2939913334671,0.12703578123842232,0.35500151610848396,12.338418228472186,11.465227109280855
SARIMA,150.06544156571294,182.57375123651013,0.3870484186580655,-2.419438628488321,24.88545115162067,30.462518108597763
