timestamp,Observed,Seq2Seq,TiDE,AutoML,Transformer
2023-09-26 00:00:00,487.22,506.978515625,491.3796997070313,490.59283447265625,508.981781
2023-09-26 01:00:00,477.0,486.0155334472656,480.75982666015625,490.6697387695313,489.444672
2023-09-26 02:00:00,470.0,494.8243103027344,480.20751953125,497.45849609375,489.444672
2023-09-26 03:00:00,471.0,501.8344421386719,483.7388610839844,497.8197326660156,493.29129
2023-09-26 04:00:00,479.22,514.32275390625,496.5846862792969,505.021484375,497.16806
2023-09-26 05:00:00,500.0,554.3964233398438,523.743896484375,540.5813598632812,529.297119
2023-09-26 06:00:00,677.0,621.8960571289062,580.0592651367188,606.2664794921875,618.980164
2023-09-26 07:00:00,747.0,787.0233764648438,748.54150390625,742.5140991210938,755.654114
2023-09-26 08:00:00,697.0,735.1991577148438,721.50927734375,731.0748291015625,761.588623
2023-09-26 09:00:00,560.0,631.0574340820312,635.4711303710938,640.9711303710938,648.733643
2023-09-26 10:00:00,486.0,512.8717041015625,517.4140014648438,533.2452392578125,519.040283
2023-09-26 11:00:00,442.0,466.9094848632813,467.6125183105469,490.4550476074219,483.730835
2023-09-26 12:00:00,437.0,436.119384765625,432.3055114746094,452.929931640625,449.057343
2023-09-26 13:00:00,437.0,443.5555114746094,431.43365478515625,449.048828125,452.587189
2023-09-26 14:00:00,437.0,464.3545837402344,445.1126098632813,446.128662109375,465.161072
2023-09-26 15:00:00,481.07,493.9797973632813,469.2598571777344,464.3386840820313,501.075256
2023-09-26 16:00:00,570.0,564.0223999023438,528.9945068359375,525.0829467773438,576.885071
2023-09-26 17:00:00,690.0,670.5450439453125,641.9736328125,645.452880859375,669.358398
2023-09-26 18:00:00,843.22,800.7590942382812,757.2420043945312,753.4061889648438,761.588623
2023-09-26 19:00:00,865.95,879.5160522460938,854.56298828125,850.7447509765625,866.50824
2023-09-26 20:00:00,812.22,800.4378662109375,796.7836303710938,771.67431640625,791.966736
2023-09-26 21:00:00,604.0,698.018798828125,698.8171997070312,682.4176635742188,679.915039
2023-09-26 22:00:00,520.0,560.9003295898438,548.070068359375,564.6403198242188,590.589233
2023-09-26 23:00:00,441.0,499.7333068847656,482.7166442871094,495.2465515136719,479.958618
2023-09-27 00:00:00,500.0,459.9277038574219,438.2546081542969,440.8333129882813,463.343689
2023-09-27 01:00:00,485.0,494.4380493164063,491.1923522949219,499.1206665039063,499.117828
2023-09-27 02:00:00,480.0,481.8444519042969,473.8544006347656,483.669189453125,485.628021
2023-09-27 03:00:00,481.4,489.9273986816406,480.0747985839844,484.89453125,493.29129
2023-09-27 04:00:00,485.0,498.7821350097656,493.3483581542969,501.3447265625,499.117828
2023-09-27 05:00:00,525.0,537.671875,521.1338500976562,540.8336791992188,523.119019
2023-09-27 06:00:00,706.91,628.2911376953125,598.9713134765625,619.5364379882812,618.980164
2023-09-27 07:00:00,799.39,768.7744140625,748.3594970703125,739.24169921875,749.765808
2023-09-27 08:00:00,720.0,740.8504028320312,748.3161010742188,750.4727783203125,776.629333
2023-09-27 09:00:00,565.0,615.3366088867188,633.0243530273438,646.6422119140625,633.682556
2023-09-27 10:00:00,485.0,485.7864379882813,504.84088134765625,521.3034057617188,497.16806
2023-09-27 11:00:00,444.99,414.9391784667969,426.2699890136719,451.6005554199219,447.302734
2023-09-27 12:00:00,425.0,413.9366149902344,413.071044921875,425.0370178222656,428.447723
2023-09-27 13:00:00,425.0,419.738525390625,409.9291076660156,409.918701171875,420.141449
2023-09-27 14:00:00,449.9,443.37213134765625,432.7711486816406,408.84576416015625,436.917816
2023-09-27 15:00:00,486.4,527.3665161132812,494.1892700195313,474.05908203125,506.993561
2023-09-27 16:00:00,561.0,577.0928344726562,552.0585327148438,532.2379760742188,583.697021
2023-09-27 17:00:00,720.0,664.86669921875,651.1708984375,625.6470947265625,658.965454
2023-09-27 18:00:00,850.0,836.58349609375,800.3231811523438,756.4566650390625,776.629333
2023-09-27 19:00:00,890.2,881.4991455078125,868.7250366210938,855.0817260742188,863.12616
2023-09-27 20:00:00,785.0,837.6832275390625,830.1739501953125,788.6552124023438,817.138184
2023-09-27 21:00:00,600.0,697.4049682617188,686.2962646484375,664.6119384765625,658.965454
2023-09-27 22:00:00,502.27,558.7818603515625,539.7455444335938,544.9774780273438,561.297607
2023-09-27 23:00:00,450.0,463.9828186035156,455.0198364257813,464.61138916015625,442.079865
2023-09-28 00:00:00,400.0,439.2446899414063,431.2875671386719,435.1459045410156,442.079865
2023-09-28 01:00:00,370.0,391.513916015625,381.3205871582031,394.760498046875,380.95871
2023-09-28 02:00:00,356.0,374.7405700683594,366.7128601074219,380.5986022949219,372.110626
2023-09-28 03:00:00,356.0,372.4835510253906,361.7989501953125,378.4265747070313,369.207062
2023-09-28 04:00:00,372.0,377.9137268066406,370.1119689941406,383.5555725097656,375.036987
2023-09-28 05:00:00,410.0,411.19732666015625,397.1387634277344,422.1747741699219,399.289276
2023-09-28 06:00:00,520.0,505.8212890625,466.3710021972656,508.6927795410156,503.040314
2023-09-28 07:00:00,560.0,575.3998413085938,555.39990234375,564.8587036132812,546.130554
2023-09-28 08:00:00,563.0,537.9970092773438,537.5978393554688,553.6638793945312,552.579956
2023-09-28 09:00:00,488.45,540.5746459960938,524.3410034179688,519.2529296875,529.297119
2023-09-28 10:00:00,410.0,425.0953063964844,430.3162231445313,450.8379821777344,423.444489
2023-09-28 11:00:00,360.0,377.3493347167969,365.9822998046875,398.2483825683594,363.467529
2023-09-28 12:00:00,322.0,361.9998168945313,333.09429931640625,364.4910583496094,336.077362
