model,MAE,RMSE,RMSLE,R2,MAPE_eps,sMAPE
TiDE,28.62007276539599,43.41581483595807,0.5391019928511671,0.9492674235826368,25.764001346607323,16.24753648257714
GBR,33.091781797238355,47.89746519644411,0.7876818786904917,0.9382529709297076,51.42450874826253,19.16387004905502
XGB,35.60170849286192,52.32042678690715,0.8809798527723632,0.9263227238864911,72.14035074799337,19.98843959820978
Seq2Seq,38.13719964809713,55.190094916282945,0.9012126264112476,0.9180189856677126,77.40216594298394,20.782416628367404
Transformer,38.79647297086057,54.44559880769639,0.9043768807971716,0.9202158609704252,79.00892612637122,20.930474406827518
AutoML,41.21777762361555,63.120196138878136,0.9352976922390734,0.8927671904265838,87.84406331437553,21.093710203640057
SARIMAX,43.41847483915375,57.1175364485338,0.597471349726067,0.912192838023357,33.949109833607096,20.295253283265918
SARIMA,118.4572979147153,141.92598626536727,1.0186799473486978,0.4578557608802569,126.83242507214129,38.99139714451342
