model,threshold,n_peaks,n_non,MAE_peaks,MAE_nonpeaks,WMAE,precision_peak,recall_peak,f1_peak
XGB,755.5499999999997,8,328,14.528948750000026,35.17277892987805,33.765245053977274,0.5,1.0,0.6666666666666666
GBR,755.5499999999997,8,328,17.207139987111674,31.267236467475392,30.30859352563241,0.5714285714285714,1.0,0.7272727272727273
SARIMA,755.5499999999997,8,328,174.8073762723158,129.06853580810522,132.18709311248324,,0.0,
SARIMAX,755.5499999999997,8,328,35.70900251579695,49.605958702714474,48.65843896269737,0.26666666666666666,1.0,0.4210526315789474
Seq2Seq,755.5499999999997,8,328,56.711278381347654,37.220081721049986,38.54902694788846,0.8333333333333334,0.625,0.7142857142857143
TiDE,755.5499999999997,8,328,28.295873107910154,25.96999191944192,26.12857472774657,0.8571428571428571,0.75,0.7999999999999999
Transformer,755.5499999999997,8,328,29.36131800000001,40.60815334756098,39.84132366477272,0.7,0.875,0.7777777777777777
AutoML,755.5499999999997,8,328,29.95716613769531,43.42506484799268,42.50679902683605,0.75,0.75,0.75
