feature,borda,wborda,rrf,mean_rank,median_rank,models_count,models_frac,borda_norm,wborda_norm,rrf_norm,final_score
price_minus_norm_load,120,17.14285714285714,0.015799463624688374,3.857142857142857,1.0,7,1.0,1.0,1.0,1.0,1.0
price_over_load,110,15.714285714285712,0.01543722187521408,5.285714285714286,2.0,7,1.0,0.9159663865546218,0.9159663865546219,0.9741509755375135,0.9450586810460677
pl_produkcja_wegiel_kamienny,86,12.285714285714285,0.014573820958138141,8.714285714285714,8.0,7,1.0,0.7142857142857143,0.7142857142857144,0.9125399893416419,0.8134128518136782
pl_produkcja_wegiel_brunatny,76,10.857142857142856,0.014284728532619972,10.142857142857142,10.0,7,1.0,0.6302521008403361,0.6302521008403362,0.8919107902225907,0.7610814455314634
price_x_imbalance,80,11.428571428571427,0.01275354144116375,7.666666666666667,4.5,6,0.8571428571428571,0.6638655462184874,0.6638655462184875,0.782647590602073,0.7232565684102803
sin24,77,11.0,0.01263061867286638,8.166666666666666,9.0,6,0.8571428571428571,0.6386554621848739,0.6386554621848741,0.773876007400174,0.7062657347925241
pl_produkcja_slonce,73,10.428571428571427,0.012496643130245127,8.833333333333334,7.0,6,0.8571428571428571,0.6050420168067226,0.6050420168067228,0.7643157149059555,0.6846788658563392
wind_share,65,9.285714285714285,0.012265959311717626,10.166666666666666,9.5,6,0.8571428571428571,0.5378151260504201,0.5378151260504203,0.7478544658178232,0.6428347959341217
cos24,75,10.714285714285714,0.01084818255660473,6.0,4.0,5,0.7142857142857143,0.6218487394957983,0.6218487394957984,0.6466840566133522,0.6342663980545753
solar_share,75,10.714285714285714,0.010835196549482264,6.0,6.0,5,0.7142857142857143,0.6218487394957983,0.6218487394957984,0.6457573947466131,0.6338030671212058
imbalance_ratio,55,7.857142857142857,0.011985525051693802,11.833333333333334,11.5,6,0.8571428571428571,0.453781512605042,0.45378151260504207,0.7278431003195195,0.5908123064622808
zapotrzebowanie_na_moc,47,6.7142857142857135,0.011801447128290355,13.166666666666666,15.5,6,0.8571428571428571,0.3865546218487395,0.3865546218487395,0.7147075775589188,0.5506310997038292
pl_produkcja_wiatr,51,7.285714285714285,0.01013084512796017,10.8,11.0,5,0.7142857142857143,0.42016806722689076,0.42016806722689076,0.5954959404787534,0.5078320038528221
pl_produkcja_gaz,49,7.0,0.010052846562673839,11.2,13.0,5,0.7142857142857143,0.40336134453781514,0.4033613445378152,0.5899300805936043,0.4966457125657098
fixing_i_volume,40,5.7142857142857135,0.009804846750862298,13.0,13.0,5,0.7142857142857143,0.3277310924369748,0.3277310924369748,0.5722331883620714,0.4499821403995231
sumaryczna_generacja_JGMa,41,5.857142857142857,0.00813603359445577,10.75,11.0,4,0.5714285714285714,0.33613445378151263,0.33613445378151263,0.4531492004841565,0.3946418271328346
generacja_zrodel_fotowoltaicznych,36,5.142857142857142,0.00795569486375786,12.0,12.0,4,0.5714285714285714,0.29411764705882354,0.29411764705882354,0.44028050087095844,0.367199073964891
hour,30,4.285714285714286,0.006067406692406692,11.0,14.0,3,0.42857142857142855,0.24369747899159663,0.24369747899159666,0.3055351072096355,0.2746162931006161
cena_wegla_pln_t,27,3.8571428571428568,0.005974703343124396,12.0,14.0,3,0.42857142857142855,0.2184873949579832,0.21848739495798322,0.2989199361344347,0.25870366554620894
promieniowanie_rozporoszone,23,3.2857142857142856,0.005845836051315503,13.333333333333334,13.0,3,0.42857142857142855,0.18487394957983194,0.18487394957983197,0.28972416070761897,0.23729905514372546
sys_margin_MW,15,2.1428571428571423,0.005653074289895215,16.0,17.0,3,0.42857142857142855,0.11764705882352941,0.11764705882352941,0.2759689723738165,0.19680801559867295
std_6h,25,3.571428571428571,0.004208909370199692,8.5,8.5,2,0.2857142857142857,0.20168067226890757,0.2016806722689076,0.17291554357592093,0.18729810792241425
day_of_week,11,1.5714285714285714,0.005545763760049474,17.333333333333332,17.0,3,0.42857142857142855,0.08403361344537816,0.08403361344537817,0.2683114549421827,0.17617253419378046
fixing_i_price_roll24_min,22,3.1428571428571423,0.004084967320261437,10.0,10.0,2,0.2857142857142857,0.17647058823529413,0.17647058823529413,0.16407122597466658,0.17027090710498036
sumaryczna_generacja_JGxx,19,2.714285714285714,0.004040461121157323,11.5,11.5,2,0.2857142857142857,0.15126050420168066,0.1512605042016807,0.16089533078576546,0.15607791749372307
